id,title,role_bucket,seniority,is_remote_label,skills,salary_mid,state,posted_month,skill,skill_clean
5679312686,Senior Analyst,Data Analyst,Senior,On-site,sql|r,82919.8,Texas,2026-03,sql,SQL
5679280191,"Analyst, Real Estate",Data Analyst,Mid,On-site,,81965.95,New York,2026-03,,
5679131514,Data Analyst,Data Analyst,Mid,On-site,python|r,75782.12,California,2026-03,python,Python
5679129157,Data Analyst: II,Data Analyst,Mid,On-site,power bi|r,83699.52,Texas,2026-03,power bi,Power BI
5679128869,Inventory Specialist,Other,Mid,Remote,sql|r,102971.62,California,2026-03,sql,SQL
5679128851,Senior Manager – AI & Analytics Delivery,Other,Senior,On-site,r|machine learning,254240.84,Pennsylvania,2026-03,machine learning,Machine Learning
5679124931,Data & Analytics Product | Product Portfolio Operations Manager,Other,Mid,On-site,excel|r,157875.0,Ohio,2026-03,excel,Excel
5679081777,Data Analyst,Data Analyst,Mid,On-site,excel|r,108160.0,Unknown,2026-03,excel,Excel
5679080939,Financial & Data Analyst,Data Analyst,Mid,On-site,,82884.39,California,2026-03,,
5679069098,REMOTE Product Owner Data and Analytics,Other,Mid,Remote,power bi|r|snowflake,83978.25,Wisconsin,2026-03,power bi,Power BI
5679069098,REMOTE Product Owner Data and Analytics,Other,Mid,Remote,power bi|r|snowflake,83978.25,Wisconsin,2026-03,snowflake,Snowflake
5678992450,Business Operations Analyst,Data Analyst,Mid,Remote,,72722.5,Massachusetts,2026-03,,
5678973591,Global Marketing Data & Analytics Analyst,Data Analyst,Mid,On-site,sql|excel|r,111412.69,Florida,2026-03,sql,SQL
5678973591,Global Marketing Data & Analytics Analyst,Data Analyst,Mid,On-site,sql|excel|r,111412.69,Florida,2026-03,excel,Excel
5678973386,Global Marketing Data & Analytics Analyst,Data Analyst,Mid,On-site,sql|excel|r,108664.63,Florida,2026-03,sql,SQL
5678973386,Global Marketing Data & Analytics Analyst,Data Analyst,Mid,On-site,sql|excel|r,108664.63,Florida,2026-03,excel,Excel
5678972931,Technical Celonis Developer,Other,Mid,On-site,sql|python|etl,113571.97,Ohio,2026-03,sql,SQL
5678972931,Technical Celonis Developer,Other,Mid,On-site,sql|python|etl,113571.97,Ohio,2026-03,python,Python
5678972931,Technical Celonis Developer,Other,Mid,On-site,sql|python|etl,113571.97,Ohio,2026-03,etl,ETL
5678972162,Global Marketing Data & Analytics Analyst,Data Analyst,Mid,On-site,sql|excel|r,119243.05,Florida,2026-03,sql,SQL
5678972162,Global Marketing Data & Analytics Analyst,Data Analyst,Mid,On-site,sql|excel|r,119243.05,Florida,2026-03,excel,Excel
5678958025,Epic Clarity Analyst/ SQL Developer,Data Analyst,Mid,On-site,excel|r,82637.66,California,2026-03,excel,Excel
5678955129,Program Support Specialist,Other,Mid,On-site,excel|r,56041.16,Maryland,2026-03,excel,Excel
